City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
89,Pevek,10,RU,1581309359,94,69.7,170.31,-26.95,-26.95,5.41
89,Goundam,99,ML,1581309492,11,16.41,-3.67,70.11,70.11,11.16
90,Arrecife,90,ES,1581309493,77,28.96,-13.55,64.4,64.4,17.22
91,Nikolskoye,98,RU,1581309202,69,59.7,30.79,35.19,36,15.66
92,Santa Cruz de la Sierra,75,BO,1581309496,100,-17.8,-63.17,75.11,75.2,3.36
93,Kimbe,97,PG,1581309498,86,-5.55,150.14,78.53,78.53,5.5
94,Saint-Philippe,75,RE,1581309500,83,-21.36,55.77,75.97,80.6,10.29
95,Half Moon Bay,40,US,1581309501,24,37.46,-122.43,55.29,59,16.11
96,Ta Khmau,40,KH,1581309503,48,11.48,104.95,82.4,82.4,5.82
97,Naze,75,JP,1581309296,48,28.37,129.48,60.8,60.8,9.17
98,Urumqi,49,CN,1581309402,62,43.8,87.6,24.8,24.8,4.47
99,Boca do Acre,83,BR,1581309508,93,-8.75,-67.4,72.32,72.32,1.97
100,Port Hedland,90,AU,1581309510,70,-20.32,118.57,86,86,16.11
101,Talnakh,75,RU,1581309511,75,69.49,88.4,-14.8,-14.8,2.24
102,Camacha,40,PT,1581309513,72,33.08,-16.33,61.57,62.6,9.17
103,Bengkulu,100,ID,1581309514,57,-3.8,102.27,87.12,87.12,6.29
104,Pisco,20,PE,1581309438,83,-13.7,-76.22,70.88,71.6,9.17
105,Tessalit,100,ML,1581309518,12,20.2,1.01,66.31,66.31,16.58
106,Tura,0,IN,1581309468,25,25.52,90.22,76.23,76.23,6.42
107,Bathsheba,40,BB,1581309521,74,13.22,-59.52,78.8,78.8,19.46
108,Kaitangata,4,NZ,1581309291,64,-46.28,169.85,59.05,59.05,21.63
109,Soyo,54,AO,1581309524,86,-6.13,12.37,76.48,76.48,4.94
110,Severobaykalsk,100,RU,1581309526,79,55.65,109.32,28.17,28.17,30.53
111,Grevena,0,GR,1581309527,74,40.08,21.43,32.11,37.99,4.7
112,Kutum,67,SD,1581309529,28,14.2,24.67,51.98,51.98,8.39
113,Cap Malheureux,40,MU,1581309531,74,-19.98,57.61,80.82,81,13.87
114,Boende,100,CD,1581309532,87,-0.22,20.87,74.68,74.68,2.01
115,Yuzhnyy,75,RU,1581309534,92,53.25,83.69,19.4,19.4,13.42
116,Padang,82,ID,1581309536,83,-0.95,100.35,78.13,78.13,3.38
117,Kieta,100,PG,1581309537,78,-6.22,155.63,81.77,81.77,7.27
118,Port Blair,8,IN,1581309539,73,11.67,92.75,80.89,80.89,17.94
119,Hong Kong,40,HK,1581309090,67,22.29,114.16,63.41,69.01,5.82
120,Hithadhoo,47,MV,1581309543,74,-0.6,73.08,82.49,82.49,10.42
121,Charlestown,75,AU,1581309306,78,-32.95,151.67,80.01,87.01,12.75
122,Tuy Hoa,96,VN,1581309546,81,13.08,109.3,75.25,75.25,17.29
123,Belmonte,75,BR,1581309335,83,-15.86,-38.88,78.8,78.8,3.36
124,Buraidah,0,SA,1581309431,65,26.33,43.98,44.6,44.6,4.7
125,Sargodha,15,PK,1581309546,26,32.08,72.67,67.17,67.17,4.23
126,Chui,4,UY,1581309316,84,-33.7,-53.46,57.29,57.29,6.55
127,Baykalovo,79,RU,1581309554,91,57.4,63.77,9.16,9.16,14.76
128,Yermakovskoye,100,RU,1581309556,94,53.28,92.4,33.84,33.84,16.22
128,Sandnessjoen,100,NO,1581309557,86,66.02,12.63,39.15,39.2,4.7
129,Shahrud,100,IR,1581309559,77,36.42,54.98,26.17,26.17,10.87
130,Altamont,1,US,1581309560,73,42.21,-121.74,30.38,34,1.59
131,Floriano,97,BR,1581309278,88,-6.77,-43.02,74.39,74.39,2.39
132,Sainte-Martine,90,CA,1581309564,78,45.25,-73.8,17.82,27,8.05
132,Yuzhno-Kurilsk,90,RU,1581309565,88,44.03,145.86,21.9,21.9,31.45
133,Atocha,94,BO,1581309567,82,-20.93,-66.23,44.6,44.6,5.75
133,Alofi,100,NU,1581309569,88,-19.06,-169.92,80.6,80.6,8.05
134,Lata,75,PT,1581309488,93,40.16,-8.33,54.48,57,2.24
135,Port Hardy,75,CA,1581309572,86,50.7,-127.42,41,41,8.05
136,Severo-Kuril'sk,97,RU,1581309381,76,50.68,156.12,19.56,19.56,15.82
137,Ossora,100,RU,1581309576,85,59.24,163.07,-2.96,-2.96,14.92
138,Jizan,40,SA,1581309577,74,17.33,42.67,80.6,80.6,11.41
139,Nemuro,75,JP,1581309579,73,43.32,145.57,24.8,24.8,12.75
140,Abalak,32,RU,1581309580,88,58.13,68.59,3.34,3.34,11.25
141,Palmer,90,US,1581309571,86,42.16,-72.33,30.31,36,7.29
142,Novyy Urengoy,42,RU,1581309584,95,66.08,76.63,-10.17,-10.17,5.73
143,Homer,1,US,1581309585,69,59.64,-151.55,31.46,35.01,4.65
144,East London,40,ZA,1581309514,94,-33.02,27.91,68,68,3.36
145,Norman Wells,75,CA,1581309501,84,65.28,-126.83,1.4,1.4,3.36
146,San Quintin,91,MX,1581309590,80,30.48,-115.95,55.9,55.9,14.43
147,Jasper,90,US,1581309552,84,37.2,-94.35,39.43,44.01,6.93
148,Concepcion del Uruguay,0,AR,1581309594,78,-32.48,-58.24,62.4,63,1.99
149,Sambava,98,MG,1581309595,56,-14.27,50.17,84,84,2.46
150,Dauphin,40,CA,1581309597,79,51.15,-100.05,24.8,24.8,16.11
150,Villa Alemana,0,CL,1581309599,93,-33.04,-71.37,60.03,66.2,3.36
151,Lorengau,100,PG,1581309600,76,-2.02,147.27,83.75,83.75,14.65
151,Dzilam Gonzalez,33,MX,1581309602,84,21.28,-88.93,75.29,75.29,14.12
151,Hokitika,0,NZ,1581309579,73,-42.72,170.97,61.43,61.43,5.17
152,Yenagoa,0,NG,1581309605,94,4.92,6.26,75.38,75.38,1.52
153,Ambovombe,0,MG,1581309607,47,-25.17,46.08,86.18,86.18,5.35
154,Pokrovsk,0,UA,1581309608,86,48.28,37.18,13.15,13.15,11.25
155,Grand Gaube,40,MU,1581309610,74,-20.01,57.66,80.82,81,13.87
156,Kidal,96,ML,1581309612,14,18.44,1.41,64.18,64.18,13.69
157,Richards Bay,96,ZA,1581309549,76,-28.78,32.04,77.29,77.29,17.34
158,Zlobin,75,HR,1581309615,87,45.29,14.65,49.01,54,5.82
159,Egvekinot,87,RU,1581309469,79,66.32,-179.17,-18.83,-18.83,1.74
159,Sydney,75,AU,1581309341,65,-33.87,151.21,82.13,84.99,16.11
160,Moerewa,0,NZ,1581309620,52,-35.38,174.03,73.02,75.99,8.01
161,Raja,3,SS,1581309622,17,8.46,25.68,65.53,65.53,10.6
162,Santa Lucia,75,ES,1581309623,77,27.91,-15.54,63.48,64.4,20.8
163,Port Elizabeth,75,ZA,1581309357,93,-33.92,25.57,66.2,66.2,4.7
164,Kollegal,100,IN,1581309627,64,12.15,77.12,75.2,75.2,6.93
165,Westport,20,US,1581309628,75,41.14,-73.36,38.59,43,11.41
166,Husavik,90,IS,1581309630,90,66.04,-17.34,32,32,36.91
167,Vanavara,18,RU,1581309430,88,60.34,102.28,7.16,7.16,5.82
168,Vakhrushev,27,RU,1581309633,84,48.98,142.97,17.06,17.06,4.99
169,Kenai,1,US,1581309635,59,60.55,-151.26,33.85,34,18.34
170,Sakakah,75,SA,1581309636,60,29.97,40.21,41,41,13.87
171,Berdigestyakh,100,RU,1581309638,94,62.1,126.7,-4.45,-4.45,10.2
172,Flinders,75,AU,1581309640,83,-34.58,150.86,76.96,81,11.41
173,Straumen,90,NO,1581309641,98,63.87,11.3,40.77,44.6,17.22
174,Abu Kamal,0,SY,1581309643,32,34.45,40.92,33.69,33.69,13.73
175,Port Shepstone,100,ZA,1581309645,94,-30.74,30.45,68.32,68.32,7.92
176,Tazovsky,97,RU,1581309646,98,67.47,78.7,-8.09,-8.09,6.29
176,Dzaoudzi,44,YT,1581309648,94,-12.79,45.27,80.6,80.6,3.36
177,Khanbari,0,NP,1581309650,37,27.37,87.2,47.14,47.14,7.23
178,Elk Plain,1,US,1581309651,100,47.05,-122.4,36.84,41,2.15
179,Impfondo,91,CG,1581309653,75,1.64,18.07,74.86,74.86,1.99
180,Iracoubo,51,GF,1581309654,81,5.48,-53.2,78.67,78.67,16.71
181,Jamestown,90,US,1581309346,100,42.1,-79.24,32.74,37,13.87
182,Carutapera,62,BR,1581309658,82,-1.2,-46.02,80.02,80.02,10
182,Tasiilaq,91,GL,1581309659,67,65.61,-37.64,23,23,4.7
183,Yar-Sale,57,RU,1581309184,96,66.83,70.83,-9.62,-9.62,8.9
184,Kushiro,40,JP,1581309663,54,42.98,144.37,28.4,28.4,12.75
185,Labrea,71,BR,1581309664,85,-7.26,-64.8,72.86,72.86,2.26
